sample_size,time,formula,num_items,seed
30000,4.9685962200164795,(user_latents|item) + (item_latents|constant),10,0
30000,4.157593727111816,(user_latents|item) + (item_latents|constant),10,1
30000,4.334559440612793,(user_latents|item) + (item_latents|constant),10,2
30000,4.023853063583374,(user_latents|item) + (item_latents|constant),10,3
30000,3.93186354637146,(user_latents|item) + (item_latents|constant),10,4
30000,5.508694648742676,(user_latents|item) + (item_latents|constant),20,0
30000,6.012146234512329,(user_latents|item) + (item_latents|constant),20,1
30000,8.989289045333862,(user_latents|item) + (item_latents|constant),20,2
30000,8.094581604003906,(user_latents|item) + (item_latents|constant),20,3
30000,5.944801092147827,(user_latents|item) + (item_latents|constant),20,4
30000,9.330032587051392,(user_latents|item) + (item_latents|constant),50,0
30000,8.34122610092163,(user_latents|item) + (item_latents|constant),50,1
30000,9.32131552696228,(user_latents|item) + (item_latents|constant),50,2
30000,9.2613046169281,(user_latents|item) + (item_latents|constant),50,3
30000,8.09057068824768,(user_latents|item) + (item_latents|constant),50,4
30000,13.373758792877197,(user_latents|item) + (item_latents|constant),100,0
30000,11.989405870437622,(user_latents|item) + (item_latents|constant),100,1
30000,13.07680869102478,(user_latents|item) + (item_latents|constant),100,2
30000,11.385061025619507,(user_latents|item) + (item_latents|constant),100,3
30000,12.979346752166748,(user_latents|item) + (item_latents|constant),100,4
30000,16.601929187774658,(user_latents|item) + (item_latents|constant),150,0
30000,16.396170139312744,(user_latents|item) + (item_latents|constant),150,1
30000,17.219322204589844,(user_latents|item) + (item_latents|constant),150,2
30000,13.679445266723633,(user_latents|item) + (item_latents|constant),150,3
30000,14.96956753730774,(user_latents|item) + (item_latents|constant),150,4
30000,18.282880783081055,(user_latents|item) + (item_latents|constant),200,0
30000,21.385631322860718,(user_latents|item) + (item_latents|constant),200,1
30000,19.566385507583618,(user_latents|item) + (item_latents|constant),200,2
30000,21.05865740776062,(user_latents|item) + (item_latents|constant),200,3
30000,20.07681632041931,(user_latents|item) + (item_latents|constant),200,4
30000,19.004884004592896,(user_latents|item) + (item_latents|constant),250,0
30000,22.84679341316223,(user_latents|item) + (item_latents|constant),250,1
30000,22.531179189682007,(user_latents|item) + (item_latents|constant),250,2
30000,19.03635311126709,(user_latents|item) + (item_latents|constant),250,3
30000,21.64076280593872,(user_latents|item) + (item_latents|constant),250,4
30000,22.414336919784546,(user_latents|item) + (item_latents|constant),300,0
30000,24.81307339668274,(user_latents|item) + (item_latents|constant),300,1
30000,21.612950801849365,(user_latents|item) + (item_latents|constant),300,2
30000,20.602288484573364,(user_latents|item) + (item_latents|constant),300,3
30000,22.078943729400635,(user_latents|item) + (item_latents|constant),300,4
30000,16.35504150390625,(user_latents|item) + (item_latents|constant),350,0
30000,21.743962049484253,(user_latents|item) + (item_latents|constant),350,1
30000,23.207988023757935,(user_latents|item) + (item_latents|constant),350,2
30000,12.16564154624939,(user_latents|item) + (item_latents|constant),350,3
30000,26.77712655067444,(user_latents|item) + (item_latents|constant),350,4
30000,14.431301593780518,(user_latents|item) + (item_latents|constant),400,0
30000,17.766204595565796,(user_latents|item) + (item_latents|constant),400,1
30000,12.97481632232666,(user_latents|item) + (item_latents|constant),400,2
30000,14.942777633666992,(user_latents|item) + (item_latents|constant),400,3
30000,16.155062198638916,(user_latents|item) + (item_latents|constant),400,4
30000,29.743815183639526,(user_latents|item) + (item_latents|constant),450,0
30000,34.747281312942505,(user_latents|item) + (item_latents|constant),450,1
30000,33.46343970298767,(user_latents|item) + (item_latents|constant),450,2
30000,21.131245613098145,(user_latents|item) + (item_latents|constant),450,3
30000,35.35149621963501,(user_latents|item) + (item_latents|constant),450,4
30000,20.84908938407898,(user_latents|item) + (item_latents|constant),500,0
