sample_size,time,formula,seed
1000,0.5640673637390137,(user_latents|item) + (item_latents|constant),0
2000,0.8389272689819336,(user_latents|item) + (item_latents|constant),0
3000,1.106961727142334,(user_latents|item) + (item_latents|constant),0
5000,7.626357793807983,(user_latents|item) + (item_latents|constant),0
7000,3.2405459880828857,(user_latents|item) + (item_latents|constant),0
10000,11.054159164428711,(user_latents|item) + (item_latents|constant),0
30000,31.74504518508911,(user_latents|item) + (item_latents|constant),0
50000,71.76491904258728,(user_latents|item) + (item_latents|constant),0
70000,129.9235544204712,(user_latents|item) + (item_latents|constant),0
100000,236.8543083667755,(user_latents|item) + (item_latents|constant),0
200000,307.8916027545929,(user_latents|item) + (item_latents|constant),0
1000,0.21982312202453613,(user_latents|item),0
2000,0.34629058837890625,(user_latents|item),0
3000,0.6849961280822754,(user_latents|item),0
5000,1.268737554550171,(user_latents|item),0
7000,2.2459800243377686,(user_latents|item),0
10000,10.49073076248169,(user_latents|item),0
30000,22.818233728408813,(user_latents|item),0
50000,56.32106304168701,(user_latents|item),0
70000,85.05589008331299,(user_latents|item),0
100000,163.58040380477905,(user_latents|item),0
200000,173.22201919555664,(user_latents|item),0
1000,0.2207324504852295,(item_latents|constant),0
2000,0.3724985122680664,(item_latents|constant),0
3000,0.4710960388183594,(item_latents|constant),0
5000,0.758007287979126,(item_latents|constant),0
7000,0.9263191223144531,(item_latents|constant),0
10000,1.1723418235778809,(item_latents|constant),0
30000,3.3969783782958984,(item_latents|constant),0
50000,7.314439535140991,(item_latents|constant),0
70000,8.884807109832764,(item_latents|constant),0
100000,12.554773807525635,(item_latents|constant),0
200000,29.465160608291626,(item_latents|constant),0
1000,0.2776932716369629,(user_latents|item) + (item_latents|constant),1
2000,1.1079139709472656,(user_latents|item) + (item_latents|constant),1
3000,0.9386343955993652,(user_latents|item) + (item_latents|constant),1
5000,3.136376142501831,(user_latents|item) + (item_latents|constant),1
7000,3.524651288986206,(user_latents|item) + (item_latents|constant),1
10000,8.87540888786316,(user_latents|item) + (item_latents|constant),1
30000,30.15853452682495,(user_latents|item) + (item_latents|constant),1
50000,72.721515417099,(user_latents|item) + (item_latents|constant),1
70000,126.50369548797607,(user_latents|item) + (item_latents|constant),1
100000,265.86023354530334,(user_latents|item) + (item_latents|constant),1
200000,342.79428029060364,(user_latents|item) + (item_latents|constant),1
1000,0.26911425590515137,(user_latents|item),1
2000,0.3014078140258789,(user_latents|item),1
3000,0.5644936561584473,(user_latents|item),1
5000,1.6155471801757812,(user_latents|item),1
