"time","formula","num_params","seed"
14.107,"choice ~ 0 | user_latent_0 - 1 | 0",1,1
8.608,"choice ~ item_latent_0 - 1 | 0 | 0",1,1
13.884,"choice ~ item_latent_0 - 1 | user_latent_0 - 1 | 0",1,1
31.39,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 - 1 | 0",5,1
8.7,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 - 1 | 0 | 0",5,1
33.19,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 - 1 | 0",5,1
59.365,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",10,1
9.185,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | 0 | 0",10,1
68.353,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",10,1
107.313,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 - 1 | 0",15,1
9.75900000000001,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 - 1 | 0 | 0",15,1
108.509,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 - 1 | 0",15,1
157.1,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 + user_latent_15 + user_latent_16 + user_latent_17 + user_latent_18 + user_latent_19 - 1 | 0",20,1
10.418,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 + item_latent_15 + item_latent_16 + item_latent_17 + item_latent_18 + item_latent_19 - 1 | 0 | 0",20,1
176.052,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 + item_latent_15 + item_latent_16 + item_latent_17 + item_latent_18 + item_latent_19 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 + user_latent_15 + user_latent_16 + user_latent_17 + user_latent_18 + user_latent_19 - 1 | 0",20,1
244.713,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 + user_latent_15 + user_latent_16 + user_latent_17 + user_latent_18 + user_latent_19 + user_latent_20 + user_latent_21 + user_latent_22 + user_latent_23 + user_latent_24 + user_latent_25 + user_latent_26 + user_latent_27 + user_latent_28 + user_latent_29 - 1 | 0",30,1
10.9929999999999,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 + item_latent_15 + item_latent_16 + item_latent_17 + item_latent_18 + item_latent_19 + item_latent_20 + item_latent_21 + item_latent_22 + item_latent_23 + item_latent_24 + item_latent_25 + item_latent_26 + item_latent_27 + item_latent_28 + item_latent_29 - 1 | 0 | 0",30,1
259.826,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 + item_latent_15 + item_latent_16 + item_latent_17 + item_latent_18 + item_latent_19 + item_latent_20 + item_latent_21 + item_latent_22 + item_latent_23 + item_latent_24 + item_latent_25 + item_latent_26 + item_latent_27 + item_latent_28 + item_latent_29 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 + user_latent_15 + user_latent_16 + user_latent_17 + user_latent_18 + user_latent_19 + user_latent_20 + user_latent_21 + user_latent_22 + user_latent_23 + user_latent_24 + user_latent_25 + user_latent_26 + user_latent_27 + user_latent_28 + user_latent_29 - 1 | 0",30,1
13.3820000000001,"choice ~ 0 | user_latent_0 - 1 | 0",1,2
8.4559999999999,"choice ~ item_latent_0 - 1 | 0 | 0",1,2
13.307,"choice ~ item_latent_0 - 1 | user_latent_0 - 1 | 0",1,2
28.6690000000001,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 - 1 | 0",5,2
8.80300000000011,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 - 1 | 0 | 0",5,2
32.357,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 - 1 | 0",5,2
50.895,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",10,2
9.11599999999999,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | 0 | 0",10,2
61.0329999999999,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",10,2
97.3630000000001,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 - 1 | 0",15,2
9.91499999999996,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 - 1 | 0 | 0",15,2
99.7629999999999,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 - 1 | 0",15,2
147.814,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 + user_latent_15 + user_latent_16 + user_latent_17 + user_latent_18 + user_latent_19 - 1 | 0",20,2
10.441,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 + item_latent_15 + item_latent_16 + item_latent_17 + item_latent_18 + item_latent_19 - 1 | 0 | 0",20,2
166.591,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 + item_latent_10 + item_latent_11 + item_latent_12 + item_latent_13 + item_latent_14 + item_latent_15 + item_latent_16 + item_latent_17 + item_latent_18 + item_latent_19 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 + user_latent_15 + user_latent_16 + user_latent_17 + user_latent_18 + user_latent_19 - 1 | 0",20,2
239.228,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 + user_latent_10 + user_latent_11 + user_latent_12 + user_latent_13 + user_latent_14 + user_latent_15 + user_latent_16 + user_latent_17 + user_latent_18 + user_latent_19 + user_latent_20 + user_latent_21 + user_latent_22 + user_latent_23 + user_latent_24 + user_latent_25 + user_latent_26 + user_latent_27 + user_latent_28 + user_latent_29 - 1 | 0",30,2
