"time","formula","num_records","seed"
4.505,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",1000,1
0.506,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | 0 | 0",1000,1
3.38500000000001,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",1000,1
5.71,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",2000,1
1.113,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | 0 | 0",2000,1
6.505,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",2000,1
9.858,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",3000,1
1.809,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | 0 | 0",3000,1
10.077,"choice ~ item_latent_0 + item_latent_1 + item_latent_2 + item_latent_3 + item_latent_4 + item_latent_5 + item_latent_6 + item_latent_7 + item_latent_8 + item_latent_9 - 1 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",3000,1
16.33,"choice ~ 0 | user_latent_0 + user_latent_1 + user_latent_2 + user_latent_3 + user_latent_4 + user_latent_5 + user_latent_6 + user_latent_7 + user_latent_8 + user_latent_9 - 1 | 0",5000,1
