chid,alt,id,choice,available,env,post,cm,lnb,age,vcost,kcost
1,1.0,1,False,1.0,regulated,0.0,1.0,1.0,1.2,1.369104,1.0944
1,2.0,1,False,1.0,regulated,0.0,1.0,0.0,1.2,2.107275,0.672
1,3.0,1,True,1.0,regulated,0.0,0.0,1.0,1.2,1.697158,0.4224
1,4.0,1,False,1.0,regulated,0.0,0.0,1.0,1.2,1.604005,0.9152
1,5.0,1,False,1.0,regulated,0.0,0.0,1.0,1.2,1.472123,1.2096
1,6.0,1,False,1.0,regulated,1.0,0.0,1.0,1.2,0.5872348,4.08192
1,7.0,1,False,0.0,regulated,0.0,0.0,1.0,1.2,0.0,0.0
1,8.0,1,False,0.0,regulated,0.0,1.0,1.0,1.2,0.0,0.0
1,9.0,1,False,0.0,regulated,1.0,1.0,1.0,1.2,0.0,0.0
1,10.0,1,False,1.0,regulated,0.0,0.0,0.0,1.2,2.637651,0.0
1,11.0,1,False,0.0,regulated,0.0,1.0,0.0,1.2,0.0,0.0
1,12.0,1,False,0.0,regulated,1.0,1.0,0.0,1.2,0.0,0.0
1,13.0,1,False,0.0,regulated,1.0,1.0,0.0,1.2,0.0,0.0
1,14.0,1,False,1.0,regulated,1.0,0.0,0.0,1.2,0.6359354,3.08096
1,15.0,1,False,1.0,regulated,1.0,0.0,0.0,1.2,0.8791556,0.3776
2,1.0,1,False,1.0,regulated,0.0,1.0,1.0,1.2,1.279311,2.0988
2,2.0,1,False,1.0,regulated,0.0,1.0,0.0,1.2,1.994109,1.0164
2,3.0,1,True,1.0,regulated,0.0,0.0,1.0,1.2,1.579644,1.0824
2,4.0,1,False,1.0,regulated,0.0,0.0,1.0,1.2,1.485307,2.574
2,5.0,1,False,1.0,regulated,0.0,0.0,1.0,1.2,1.360977,3.4716
2,6.0,1,False,1.0,regulated,1.0,0.0,1.0,1.2,0.795178,9.71982
2,7.0,1,False,0.0,regulated,0.0,0.0,1.0,1.2,0.0,0.0
2,8.0,1,False,0.0,regulated,0.0,1.0,1.0,1.2,0.0,0.0
2,9.0,1,False,0.0,regulated,1.0,1.0,1.0,1.2,0.0,0.0
2,10.0,1,False,1.0,regulated,0.0,0.0,0.0,1.2,2.486578,0.0
2,11.0,1,False,0.0,regulated,0.0,1.0,0.0,1.2,0.0,0.0
2,12.0,1,False,0.0,regulated,1.0,1.0,0.0,1.2,0.0,0.0
2,13.0,1,False,0.0,regulated,1.0,1.0,0.0,1.2,0.0,0.0
2,14.0,1,False,1.0,regulated,1.0,0.0,0.0,1.2,0.8876244,6.65412
2,15.0,1,False,1.0,regulated,1.0,0.0,0.0,1.2,1.961559,1.6434
3,1.0,2,False,1.0,regulated,0.0,1.0,1.0,-1.1,17.42123,15.183
3,2.0,2,False,1.0,regulated,0.0,1.0,0.0,-1.1,26.25823,9.6882
3,3.0,2,False,1.0,regulated,0.0,0.0,1.0,-1.1,21.56747,5.4948
3,4.0,2,False,0.0,regulated,0.0,0.0,1.0,-1.1,20.43683,8.8929
3,5.0,2,False,1.0,regulated,0.0,0.0,1.0,-1.1,18.80441,11.7126
3,6.0,2,False,1.0,regulated,1.0,0.0,1.0,-1.1,9.086795,47.84091
