"","depvar","icca","occa","income","ich","och","idx.id1","idx.id2","inc.room","inc.cooling","int.cooling","cooling.modes","room.modes"
"1",FALSE, 0.00,0.00,20,24.50,4.09,  1,ec, 0, 0,0,FALSE,FALSE
"2",FALSE,27.28,2.95,20, 7.86,4.09,  1,ecc, 0,20,1,TRUE,FALSE
"3",FALSE, 0.00,0.00,20, 7.37,3.85,  1,er,20, 0,0,FALSE,TRUE
"4",TRUE,27.28,2.95,20, 8.79,3.85,  1,erc,20,20,1,TRUE,TRUE
"5",FALSE, 0.00,0.00,20,24.08,2.26,  1,gc, 0, 0,0,FALSE,FALSE
"6",FALSE,27.28,2.95,20, 9.70,2.26,  1,gcc, 0,20,1,TRUE,FALSE
"7",FALSE,27.28,2.95,20,11.36,1.73,  1,hpc, 0,20,1,TRUE,FALSE
"8",FALSE, 0.00,0.00,50,32.71,2.69,  2,ec, 0, 0,0,FALSE,FALSE
"9",FALSE,26.49,1.63,50, 8.69,2.69,  2,ecc, 0,50,1,TRUE,FALSE
"10",FALSE, 0.00,0.00,50, 9.33,3.45,  2,er,50, 0,0,FALSE,TRUE
"11",FALSE,26.49,1.63,50, 7.09,3.45,  2,erc,50,50,1,TRUE,TRUE
"12",FALSE, 0.00,0.00,50,28.00,2.30,  2,gc, 0, 0,0,FALSE,FALSE
"13",FALSE,26.49,1.63,50, 8.77,2.30,  2,gcc, 0,50,1,TRUE,FALSE
"14",TRUE,26.49,1.63,50, 9.37,1.65,  2,hpc, 0,50,1,TRUE,FALSE
"15",FALSE, 0.00,0.00,50,31.68,5.25,  3,ec, 0, 0,0,FALSE,FALSE
"16",FALSE,22.63,2.18,50, 8.86,5.25,  3,ecc, 0,50,1,TRUE,FALSE
"17",FALSE, 0.00,0.00,50, 8.14,4.35,  3,er,50, 0,0,FALSE,TRUE
"18",FALSE,22.63,2.18,50, 6.94,4.35,  3,erc,50,50,1,TRUE,TRUE
"19",FALSE, 0.00,0.00,50,25.71,2.28,  3,gc, 0, 0,0,FALSE,FALSE
"20",TRUE,22.63,2.18,50, 7.43,2.28,  3,gcc, 0,50,1,TRUE,FALSE
"21",FALSE,22.63,2.18,50,11.70,1.44,  3,hpc, 0,50,1,TRUE,FALSE
"22",FALSE, 0.00,0.00,50,26.73,4.89,  4,ec, 0, 0,0,FALSE,FALSE
"23",FALSE,25.33,2.70,50, 8.93,4.89,  4,ecc, 0,50,1,TRUE,FALSE
"24",FALSE, 0.00,0.00,50, 8.04,4.85,  4,er,50, 0,0,FALSE,TRUE
"25",FALSE,25.33,2.70,50, 7.22,4.85,  4,erc,50,50,1,TRUE,TRUE
"26",FALSE, 0.00,0.00,50,29.72,2.62,  4,gc, 0, 0,0,FALSE,FALSE
"27",TRUE,25.33,2.70,50, 9.18,2.62,  4,gcc, 0,50,1,TRUE,FALSE
"28",FALSE,25.33,2.70,50,12.13,1.93,  4,hpc, 0,50,1,TRUE,FALSE
"29",FALSE, 0.00,0.00,60,28.35,3.71,  5,ec, 0, 0,0,FALSE,FALSE
"30",FALSE,25.45,2.77,60, 7.02,3.71,  5,ecc, 0,60,1,TRUE,FALSE
"31",FALSE, 0.00,0.00,60, 7.15,3.64,  5,er,60, 0,0,FALSE,TRUE
"32",FALSE,25.45,2.77,60, 8.44,3.64,  5,erc,60,60,1,TRUE,TRUE
"33",FALSE, 0.00,0.00,60,23.90,2.52,  5,gc, 0, 0,0,FALSE,FALSE
"34",TRUE,25.45,2.77,60, 8.05,2.52,  5,gcc, 0,60,1,TRUE,FALSE
"35",FALSE,25.45,2.77,60,10.51,1.63,  5,hpc, 0,60,1,TRUE,FALSE
"36",FALSE, 0.00,0.00,30,21.37,3.20,  6,ec, 0, 0,0,FALSE,FALSE
"37",FALSE,19.93,2.68,30, 8.03,3.20,  6,ecc, 0,30,1,TRUE,FALSE
"38",FALSE, 0.00,0.00,30, 8.60,4.30,  6,er,30, 0,0,FALSE,TRUE
"39",FALSE,19.93,2.68,30, 6.22,4.30,  6,erc,30,30,1,TRUE,TRUE
"40",FALSE, 0.00,0.00,30,27.02,1.99,  6,gc, 0, 0,0,FALSE,FALSE
"41",TRUE,19.93,2.68,30, 9.32,1.99,  6,gcc, 0,30,1,TRUE,FALSE
"42",FALSE,19.93,2.68,30,12.57,1.30,  6,hpc, 0,30,1,TRUE,FALSE
"43",FALSE, 0.00,0.00,30,28.63,3.74,  7,ec, 0, 0,0,FALSE,FALSE
"44",FALSE,27.04,2.12,30, 8.78,3.74,  7,ecc, 0,30,1,TRUE,FALSE
"45",FALSE, 0.00,0.00,30, 6.41,4.02,  7,er,30, 0,0,FALSE,TRUE
"46",FALSE,27.04,2.12,30, 7.36,4.02,  7,erc,30,30,1,TRUE,TRUE
"47",TRUE, 0.00,0.00,30,22.93,2.06,  7,gc, 0, 0,0,FALSE,FALSE
"48",FALSE,27.04,2.12,30, 7.11,2.06,  7,gcc, 0,30,1,TRUE,FALSE
"49",FALSE,27.04,2.12,30,12.39,1.52,  7,hpc, 0,30,1,TRUE,FALSE
"50",FALSE, 0.00,0.00,50,27.86,4.59,  8,ec, 0, 0,0,FALSE,FALSE
"51",FALSE,18.10,2.95,50, 7.48,4.59,  8,ecc, 0,50,1,TRUE,FALSE
"52",FALSE, 0.00,0.00,50, 7.30,4.11,  8,er,50, 0,0,FALSE,TRUE
"53",FALSE,18.10,2.95,50, 6.72,4.11,  8,erc,50,50,1,TRUE,TRUE
"54",FALSE, 0.00,0.00,50,26.24,2.42,  8,gc, 0, 0,0,FALSE,FALSE
"55",FALSE,18.10,2.95,50, 9.38,2.42,  8,gcc, 0,50,1,TRUE,FALSE
"56",TRUE,18.10,2.95,50, 8.93,1.63,  8,hpc, 0,50,1,TRUE,FALSE
"57",FALSE, 0.00,0.00,40,22.60,4.07,  9,ec, 0, 0,0,FALSE,FALSE
"58",FALSE,22.56,2.38,40, 7.39,4.07,  9,ecc, 0,40,1,TRUE,FALSE
"59",FALSE, 0.00,0.00,40, 7.85,3.53,  9,er,40, 0,0,FALSE,TRUE
"60",FALSE,22.56,2.38,40, 8.79,3.53,  9,erc,40,40,1,TRUE,TRUE
"61",FALSE, 0.00,0.00,40,23.02,2.36,  9,gc, 0, 0,0,FALSE,FALSE
"62",TRUE,22.56,2.38,40, 8.08,2.36,  9,gcc, 0,40,1,TRUE,FALSE
"63",FALSE,22.56,2.38,40,11.16,1.30,  9,hpc, 0,40,1,TRUE,FALSE
"64",FALSE, 0.00,0.00,60,27.51,4.27, 10,ec, 0, 0,0,FALSE,FALSE
"65",FALSE,25.75,2.08,60, 4.88,4.27, 10,ecc, 0,60,1,TRUE,FALSE
"66",FALSE, 0.00,0.00,60, 6.88,5.14, 10,er,60, 0,0,FALSE,TRUE
"67",FALSE,25.75,2.08,60, 7.46,5.14, 10,erc,60,60,1,TRUE,TRUE
"68",FALSE, 0.00,0.00,60,19.82,2.24, 10,gc, 0, 0,0,FALSE,FALSE
"69",TRUE,25.75,2.08,60, 6.24,2.24, 10,gcc, 0,60,1,TRUE,FALSE
"70",FALSE,25.75,2.08,60, 8.28,1.77, 10,hpc, 0,60,1,TRUE,FALSE
"71",FALSE, 0.00,0.00,70,27.29,3.66, 11,ec, 0, 0,0,FALSE,FALSE
"72",FALSE,23.66,1.83,70, 8.70,3.66, 11,ecc, 0,70,1,TRUE,FALSE
"73",FALSE, 0.00,0.00,70, 9.42,3.46, 11,er,70, 0,0,FALSE,TRUE
"74",FALSE,23.66,1.83,70, 9.24,3.46, 11,erc,70,70,1,TRUE,TRUE
"75",FALSE, 0.00,0.00,70,23.72,1.85, 11,gc, 0, 0,0,FALSE,FALSE
"76",TRUE,23.66,1.83,70, 9.63,1.85, 11,gcc, 0,70,1,TRUE,FALSE
"77",FALSE,23.66,1.83,70,12.87,1.28, 11,hpc, 0,70,1,TRUE,FALSE
