"","case","alt","choice","dist","cost","ivt","ovt","freq","income","urban","noalt"
"1",1,"train",0,83,28.25,50,66,4,45,0,2
"2",1,"car",1,83,15.77,61,0,0,45,0,2
"3",2,"train",0,83,28.25,50,66,4,25,0,2
"4",2,"car",1,83,15.77,61,0,0,25,0,2
"5",3,"train",0,83,28.25,50,66,4,70,0,2
"6",3,"car",1,83,15.77,61,0,0,70,0,2
"7",4,"train",0,83,28.25,50,66,4,70,0,2
"8",4,"car",1,83,15.77,61,0,0,70,0,2
"9",5,"train",0,83,28.25,50,66,4,55,0,2
"10",5,"car",1,83,15.77,61,0,0,55,0,2
"11",6,"train",0,83,28.25,50,66,4,70,0,2
"12",6,"car",1,83,15.77,61,0,0,70,0,2
"13",7,"train",0,83,28.25,50,66,4,15,0,2
"14",7,"car",1,83,15.77,61,0,0,15,0,2
"15",8,"train",0,83,28.25,50,66,4,15,0,2
"16",8,"car",1,83,15.77,61,0,0,15,0,2
"17",9,"train",0,83,28.25,50,66,4,35,0,2
"18",9,"car",1,83,15.77,61,0,0,35,0,2
"19",10,"train",0,83,28.25,50,66,4,25,0,2
"20",10,"car",1,83,15.77,61,0,0,25,0,2
"21",11,"train",0,105,31.25,50,74,4,35,0,2
"22",11,"car",1,105,19.95,79,0,0,35,0,2
"23",12,"train",0,105,31.25,50,74,4,70,0,2
"24",12,"car",1,105,19.95,79,0,0,70,0,2
"25",13,"train",0,105,31.25,50,74,4,70,0,2
"26",13,"car",1,105,19.95,79,0,0,70,0,2
"27",14,"train",0,154,45.65,117,109,4,70,0,2
"28",14,"car",1,154,29.26,119,0,0,70,0,2
"29",15,"train",0,154,45.65,117,109,4,35,0,2
"30",15,"car",1,154,29.26,119,0,0,35,0,2
"31",16,"train",0,154,45.65,117,109,4,70,0,2
"32",16,"car",1,154,29.26,119,0,0,70,0,2
"33",17,"train",0,186,45.65,117,109,4,45,0,2
"34",17,"car",1,186,35.34,146,0,0,45,0,2
"35",18,"train",0,204,43.4,117,74,4,35,0,3
"36",18,"bus",0,204,19.87,149,89,8,35,0,3
"37",18,"car",1,204,38.76,137,0,0,35,0,3
"38",19,"train",0,282,50.65,174,99,4,45,0,3
"39",19,"air",0,282,164.2,56,149,9,45,0,3
"40",19,"car",1,282,53.58,186,0,0,45,0,3
"41",20,"train",1,345,66.65,209,94,4,70,0,3
"42",20,"air",0,345,159.5,56,139,9,70,0,3
"43",20,"car",0,345,65.55,226,0,0,70,0,3
"44",21,"train",0,345,66.65,209,94,4,35,0,3
"45",21,"air",0,345,159.5,56,139,9,35,0,3
"46",21,"car",1,345,65.55,226,0,0,35,0,3
"47",22,"train",0,345,66.65,209,94,4,45,0,3
"48",22,"air",0,345,159.5,56,139,9,45,0,3
"49",22,"car",1,345,65.55,226,0,0,45,0,3
"50",23,"train",0,345,66.65,209,94,4,35,0,3
"51",23,"air",0,345,159.5,56,139,9,35,0,3
"52",23,"car",1,345,65.55,226,0,0,35,0,3
"53",24,"train",0,345,66.65,209,94,4,45,0,3
"54",24,"air",0,345,159.5,56,139,9,45,0,3
"55",24,"car",1,345,65.55,226,0,0,45,0,3
