record_id,session_id,consumer_id,car,purchase,gender,income,speed,discount,price
1,1,1,American,1,1,46.699997,10,0.94,90
1,1,1,Japanese,0,1,46.699997,8,0.94,110
1,1,1,European,0,1,46.699997,7,0.94,50
1,1,1,Korean,0,1,46.699997,8,0.94,10
2,2,2,American,1,1,26.1,10,0.95,100
2,2,2,Japanese,0,1,26.1,8,0.95,70
2,2,2,European,0,1,26.1,7,0.95,20
2,2,2,Korean,0,1,26.1,8,0.95,10
3,3,3,American,0,1,32.7,10,0.9,80
3,3,3,Japanese,1,1,32.7,8,0.9,60
3,3,3,European,0,1,32.7,7,0.9,20
4,4,4,American,1,0,49.199997,10,0.81,50
4,4,4,Japanese,0,0,49.199997,8,0.81,40
4,4,4,European,0,0,49.199997,7,0.81,30
5,5,5,American,0,1,24.3,10,0.87,80
5,5,5,Japanese,0,1,24.3,8,0.87,30
5,5,5,European,1,1,24.3,7,0.87,30
6,6,6,American,1,0,39.0,10,0.83,100
6,6,6,Japanese,0,0,39.0,8,0.83,60
6,6,6,European,0,0,39.0,7,0.83,10
7,7,7,American,0,1,33.0,10,0.98,100
7,7,7,Japanese,0,1,33.0,8,0.98,60
7,7,7,European,1,1,33.0,7,0.98,40
7,7,7,Korean,0,1,33.0,8,0.98,10
8,8,8,American,1,1,20.3,10,0.88,60
8,8,8,Japanese,0,1,20.3,8,0.88,50
8,8,8,European,0,1,20.3,7,0.88,30
9,9,9,American,0,1,38.0,10,0.93,90
9,9,9,Japanese,1,1,38.0,8,0.93,90
9,9,9,European,0,1,38.0,7,0.93,20
9,9,9,Korean,0,1,38.0,8,0.93,10
10,10,10,American,0,0,60.4,10,0.87,120
10,10,10,Japanese,1,0,60.4,8,0.87,90
10,10,10,European,0,0,60.4,7,0.87,40
10,10,10,Korean,0,0,60.4,8,0.87,10
11,11,11,American,1,1,69.0,10,0.91,100
11,11,11,Japanese,0,1,69.0,8,0.91,90
11,11,11,European,0,1,69.0,7,0.91,20
11,11,11,Korean,0,1,69.0,8,0.91,20
12,12,12,American,1,1,27.7,10,1.0,110
12,12,12,Japanese,0,1,27.7,8,1.0,90
12,12,12,European,0,1,27.7,7,1.0,60
13,13,13,American,1,1,41.0,10,0.94,100
13,13,13,Japanese,0,1,41.0,8,0.94,80
13,13,13,European,0,1,41.0,7,0.94,70
14,14,14,American,0,1,65.6,10,0.85,100
14,14,14,Japanese,1,1,65.6,8,0.85,40
14,14,14,European,0,1,65.6,7,0.85,20
14,14,14,Korean,0,1,65.6,8,0.85,30
15,15,15,American,0,1,24.8,10,0.84,50
15,15,15,Japanese,0,1,24.8,8,0.84,60
