ID,choice,tt1,tc1,hw1,ch1,tt2,tc2,hw2,ch2,hh_inc_abs,car_availability,commute,shopping,business,leisure
2439,2,58,7,30,1,50,8,30,0,50000,1,1,0,0,0
2439,1,30,8,60,0,41,7,15,2,50000,1,1,0,0,0
2439,1,41,7,30,0,34,8,15,2,50000,1,1,0,0,0
2439,1,44,10,60,1,52,9,60,2,50000,1,1,0,0,0
2439,2,43,9,60,0,34,10,30,0,50000,1,1,0,0,0
2439,2,36,8,60,1,43,7,15,1,50000,1,1,0,0,0
2439,2,30,8,60,0,43,7,15,0,50000,1,1,0,0,0
2439,1,43,8,30,1,30,9,60,0,50000,1,1,0,0,0
2439,1,41,8,30,2,58,7,60,0,50000,1,1,0,0,0
5641,1,77,19,15,1,110,16,60,1,10000,0,0,0,0,1
5641,2,94,23,60,1,125,18,15,0,10000,0,0,0,0,1
5641,2,82,18,60,2,91,15,30,0,10000,0,0,0,0,1
5641,2,101,15,60,0,86,20,15,0,10000,0,0,0,0,1
5641,1,99,18,15,0,110,16,15,0,10000,0,0,0,0,1
5641,1,91,18,30,1,101,16,15,0,10000,0,0,0,0,1
5641,1,91,16,15,2,73,19,15,2,10000,0,0,0,0,1
5641,1,68,20,30,2,91,18,60,2,10000,0,0,0,0,1
5641,2,86,21,30,2,60,27,15,1,10000,0,0,0,0,1
9364,2,15,4,60,2,11,5,15,1,30000,1,0,0,0,1
9364,2,12,6,60,1,14,5,60,1,30000,1,0,0,0,1
9364,1,14,4,60,0,11,5,30,2,30000,1,0,0,0,1
9364,1,15,5,30,0,11,6,15,1,30000,1,0,0,0,1
9364,2,15,5,30,2,11,6,15,1,30000,1,0,0,0,1
9364,2,12,8,30,2,17,6,15,2,30000,1,0,0,0,1
9364,2,13,6,60,0,17,5,15,2,30000,1,0,0,0,1
9364,2,21,6,30,0,16,7,15,1,30000,1,0,0,0,1
9364,1,14,4,15,1,10,5,30,1,30000,1,0,0,0,1
10213,2,62,7,30,1,53,8,30,0,50000,0,1,0,0,0
10213,2,43,7,15,2,32,8,60,0,50000,0,1,0,0,0
10213,2,37,9,15,2,43,7,30,0,50000,0,1,0,0,0
10213,2,55,9,60,2,47,10,60,1,50000,0,1,0,0,0
10213,1,36,10,30,0,46,9,60,0,50000,0,1,0,0,0
10213,1,39,8,60,1,46,7,15,1,50000,0,1,0,0,0
10213,1,32,8,60,0,46,7,15,0,50000,0,1,0,0,0
10213,2,46,8,30,1,32,9,60,0,50000,0,1,0,0,0
10213,1,44,8,30,2,62,7,60,0,50000,0,1,0,0,0
11429,2,34,4,30,1,29,5,30,0,90000,1,0,0,0,1
