individual,mode,choice,wait,vcost,travel,gcost,income,size
1,air,no,69,59,100,70,35,1
1,train,no,34,31,372,71,35,1
1,bus,no,35,25,417,70,35,1
1,car,yes,0,10,180,30,35,1
2,air,no,64,58,68,68,30,2
2,train,no,44,31,354,84,30,2
2,bus,no,53,25,399,85,30,2
2,car,yes,0,11,255,50,30,2
3,air,no,69,115,125,129,40,1
3,train,no,34,98,892,195,40,1
3,bus,no,35,53,882,149,40,1
3,car,yes,0,23,720,101,40,1
4,air,no,64,49,68,59,70,3
4,train,no,44,26,354,79,70,3
4,bus,no,53,21,399,81,70,3
4,car,yes,0,5,180,32,70,3
5,air,no,64,60,144,82,45,2
5,train,no,44,32,404,93,45,2
5,bus,no,53,26,449,94,45,2
5,car,yes,0,8,600,99,45,2
6,air,no,69,59,100,70,20,1
6,train,yes,40,20,345,57,20,1
6,bus,no,35,13,417,58,20,1
6,car,no,0,12,284,43,20,1
7,air,yes,45,148,115,160,45,1
7,train,no,34,111,945,213,45,1
7,bus,no,35,66,935,167,45,1
7,car,no,0,36,821,125,45,1
8,air,no,69,121,152,137,12,1
8,train,no,34,52,889,149,12,1
8,bus,no,35,50,879,146,12,1
8,car,yes,0,50,780,135,12,1
9,air,no,69,59,100,70,40,1
9,train,no,34,31,372,71,40,1
9,bus,no,35,25,417,70,40,1
9,car,yes,0,17,210,40,40,1
10,air,no,69,58,68,65,70,2
10,train,no,34,31,357,69,70,2
10,bus,no,35,25,402,68,70,2
10,car,yes,0,7,210,30,70,2
11,air,no,64,58,68,68,15,2
11,train,no,44,16,357,70,15,2
11,bus,no,53,13,402,73,15,2
11,car,yes,0,4,210,36,15,2
12,air,no,64,62,108,79,35,2
12,train,no,44,34,370,90,35,2
12,bus,no,53,28,415,91,35,2
12,car,yes,0,6,250,44,35,2
13,air,no,64,45,114,63,50,4
13,train,no,44,24,378,81,50,4
13,bus,no,53,19,423,83,50,4
13,car,yes,0,5,240,41,50,4
14,air,no,64,58,94,72,40,1
14,train,no,44,31,360,85,40,1
14,bus,no,53,25,405,86,40,1
14,car,yes,0,15,285,58,40,1
15,air,no,64,83,169,109,26,4
15,train,no,44,70,948,214,26,4
15,bus,no,53,47,938,189,26,4
15,car,yes,0,17,1200,199,26,4
16,air,no,69,60,127,73,26,1
16,train,yes,20,19,325,55,26,1
16,bus,no,35,25,435,72,26,1
16,car,no,0,14,350,52,26,1
17,air,no,69,61,74,69,26,1
17,train,yes,15,38,255,66,26,1
17,bus,no,35,26,389,68,26,1
17,car,no,0,13,315,47,26,1
18,air,no,69,67,86,76,6,1
18,train,yes,20,21,300,54,6,1
18,bus,no,35,19,399,63,6,1
18,car,no,0,17,327,53,6,1
19,air,no,69,59,148,75,20,1
19,train,yes,45,18,305,51,20,1
19,bus,no,35,14,456,63,20,1
19,car,no,0,16,427,62,20,1
20,air,no,64,58,93,72,72,2
20,train,yes,10,28,305,75,72,2
20,bus,no,53,25,346,78,72,2
20,car,no,0,9,316,57,72,2
21,air,no,69,61,73,69,6,1
21,train,yes,20,21,305,54,6,1
21,bus,no,35,15,395,58,6,1
21,car,no,0,13,314,47,6,1
22,air,no,64,62,235,98,10,2
22,train,yes,45,45,465,116,10,2
22,bus,no,53,17,623,111,10,2
22,car,no,0,13,559,98,10,2
23,air,yes,90,142,105,153,50,1
23,train,no,34,71,596,136,50,1
23,bus,no,35,32,590,96,50,1
23,car,no,0,33,577,96,50,1
24,air,yes,50,120,110,132,50,1
24,train,no,34,70,596,135,50,1
24,bus,no,35,31,590,95,50,1
24,car,no,0,33,577,96,50,1
25,air,yes,15,85,65,92,18,2
25,train,no,34,15,361,55,18,2
25,bus,no,35,12,406,56,18,2
25,car,no,0,9,296,41,18,2
26,air,yes,30,85,140,106,60,1
26,train,no,44,90,928,231,60,1
26,bus,no,53,45,918,185,60,1
26,car,no,0,86,902,223,60,1
27,air,yes,80,75,110,87,45,1
27,train,no,34,70,638,140,45,1
27,bus,no,35,31,632,100,45,1
27,car,no,0,39,581,102,45,1
28,air,yes,45,85,140,106,18,2
28,train,no,44,39,664,139,18,2
28,bus,no,53,35,658,135,18,2
28,car,no,0,19,592,109,18,2
29,air,no,64,74,179,101,8,2
29,train,yes,60,43,320,91,8,2
29,bus,no,53,21,345,74,8,2
29,car,no,0,9,321,58,8,2
30,air,no,69,59,100,70,6,1
30,train,yes,2,11,285,42,6,1
30,bus,no,35,13,417,58,6,1
30,car,no,0,13,284,44,6,1
31,air,no,69,59,101,70,20,1
31,train,yes,5,17,300,50,20,1
31,bus,no,35,25,420,70,20,1
31,car,no,0,13,297,45,20,1
32,air,no,69,64,90,73,45,1
32,train,yes,15,32,325,67,45,1
32,bus,no,35,29,405,73,45,1
32,car,no,0,18,327,54,45,1
33,air,no,64,59,73,70,70,2
33,train,yes,45,29,290,73,70,2
33,bus,no,53,26,395,86,70,2
33,car,no,0,9,314,57,70,2
34,air,no,69,62,66,70,4,1
34,train,yes,10,31,295,63,4,1
34,bus,no,35,19,397,62,4,1
34,car,no,0,17,307,50,4,1
35,air,no,69,60,132,75,40,1
35,train,yes,15,15,330,50,40,1
35,bus,no,35,26,373,67,40,1
35,car,no,0,12,309,46,40,1
36,air,no,69,60,117,73,35,1
36,train,yes,10,23,325,58,35,1
36,bus,no,35,25,425,71,35,1
36,car,no,0,17,307,50,35,1
37,air,no,64,62,184,90,40,2
37,train,yes,45,24,360,79,40,2
37,bus,no,53,28,464,98,40,2
37,car,no,0,11,427,76,40,2
38,air,no,64,50,67,60,4,3
38,train,yes,30,31,265,71,4,3
38,bus,no,53,14,393,73,4,3
38,car,no,0,6,308,53,4,3
39,air,no,64,48,154,71,15,4
39,train,yes,55,25,360,80,15,4
39,bus,no,53,14,462,84,15,4
39,car,no,0,4,351,57,15,4
40,air,yes,30,147,100,158,26,1
40,train,no,34,96,678,169,26,1
40,bus,no,35,57,672,130,26,1
40,car,no,0,28,629,96,26,1
41,air,yes,75,125,110,137,26,1
41,train,no,34,70,596,135,26,1
41,bus,no,35,31,590,95,26,1
41,car,no,0,24,577,87,26,1
42,air,yes,40,152,95,162,70,1
42,train,no,34,73,600,138,70,1
42,bus,no,35,34,594,98,70,1
42,car,no,0,24,587,88,70,1
43,air,yes,30,116,180,136,70,1
43,train,no,34,71,657,142,70,1
43,bus,no,35,32,651,102,70,1
43,car,no,0,29,629,97,70,1
44,air,yes,40,100,105,116,45,2
44,train,no,44,70,622,165,45,2
44,bus,no,53,31,616,125,45,2
44,car,no,0,17,577,105,45,2
45,air,yes,45,105,115,122,8,2
45,train,no,44,35,622,130,8,2
45,bus,no,53,31,616,125,8,2
45,car,no,0,12,577,100,8,2
46,air,yes,20,106,190,127,70,1
46,train,no,34,72,659,143,70,1
46,bus,no,35,33,653,104,70,1
46,car,no,0,44,592,108,70,1
47,air,yes,60,90,100,105,26,2
47,train,no,44,69,596,160,26,2
47,bus,no,53,30,590,120,26,2
47,car,no,0,13,577,101,26,2
48,air,yes,40,48,115,60,50,1
48,train,no,34,31,365,70,50,1
48,bus,no,35,25,410,69,50,1
48,car,no,0,16,308,49,50,1
49,air,yes,50,69,85,82,10,3
49,train,no,44,16,344,68,10,3
49,bus,no,53,13,389,72,10,3
49,car,no,0,4,315,52,10,3
50,air,yes,75,99,135,114,30,1
50,train,no,34,96,678,169,30,1
50,bus,no,35,57,672,130,30,1
50,car,no,0,29,629,97,30,1
51,air,yes,90,64,155,88,60,2
51,train,no,44,74,678,177,60,2
51,bus,no,53,35,672,137,60,2
51,car,no,0,20,629,115,60,2
52,air,yes,85,105,85,118,30,4
52,train,no,44,56,665,156,30,4
52,bus,no,53,35,659,135,30,4
52,car,no,0,8,587,97,30,4
53,air,no,69,60,123,73,30,1
53,train,yes,15,24,365,64,30,1
53,bus,no,35,25,430,71,30,1
53,car,no,0,13,332,49,30,1
54,air,no,64,58,90,72,50,2
54,train,yes,30,22,340,74,50,2
54,bus,no,53,25,417,88,50,2
54,car,no,0,9,334,60,50,2
55,air,no,64,45,73,56,6,4
55,train,yes,15,22,290,66,6,4
55,bus,no,53,13,395,73,6,4
55,car,no,0,5,314,53,6,4
56,air,no,69,108,170,126,30,1
56,train,yes,30,31,875,126,30,1
56,bus,no,35,44,887,140,30,1
56,car,no,0,50,884,146,30,1
57,air,no,69,110,249,137,12,1
57,train,yes,45,22,890,119,12,1
57,bus,no,35,47,955,151,12,1
57,car,no,0,38,990,146,12,1
58,air,no,64,115,138,136,36,2
58,train,yes,10,44,830,170,36,2
58,bus,no,53,50,869,182,36,2
58,car,no,0,18,862,149,36,2
59,air,no,69,117,147,133,30,1
59,train,yes,40,59,790,145,30,1
59,bus,no,35,48,885,144,30,1
